id|namecode|tropicos_namecode|family|family_zh|family_fot|family_fot_zh|genus|genus_zh|name|fullname|plant_type|zh_name
6674|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia formosana|Deparia formosana (Rosenst.) R. Sano|2|{假腸蕨}
6675|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia lancea|Deparia lancea (Thunb.) Fraser-Jenk.|2|{對囊蕨,單葉雙蓋蕨}
6676|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia longipes|Deparia longipes (Ching) Shinohara|2|{昆明假蹄蓋蕨}
6677|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia petersenii|Deparia petersenii (Kunze) M. Kato|2|{假蹄蓋蕨}
6678|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia subfluvialis|Deparia subfluvialis (Hayata) M. Kato|2|{南洋假鱗毛蕨,波氏蹄蓋蕨}
6680|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia unifurcata|Deparia unifurcata (Baker) M. Kato|2|{東亞假鱗毛蕨,擬大蹄蓋蕨}
7506|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Diplazium|雙蓋蕨屬|Diplazium agyokuense|Diplazium agyokuense Tagawa|2|{阿玉雙蓋蕨}
7456|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Diplazium|雙蓋蕨屬|Diplazium amamianum|Diplazium amamianum Tagawa|2|{奄美雙蓋蕨}
7447|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Diplazium|雙蓋蕨屬|Diplazium asperum|Diplazium asperum Blume|2|{粗柄雙蓋蕨}
6682|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Diplazium|雙蓋蕨屬|Diplazium chinense|Diplazium chinense (Baker) C. Chr.|2|{中華雙蓋蕨}
